"station_id","song"
"radiozurnal","HALSEY - COLORS"
"radiozurnal","CHRIS REA - JOSEPHINE"
"radiozurnal","IVAN KRÁL - MÁM TVŮJ STÍN"
"radiozurnal","CREEDENCE CLEARWATER REVIVAL - DOWN ON THE CORNER"
"radiozurnal","SHAWN HOOK,  VANESSA HUDGENS - REMINDING ME"
"radiozurnal","TEARS FOR FEARS - SHOUT"
"radiozurnal","LAKE MALAWI - PARIS"
"radiozurnal","AQUA - TURN BACK TIME"
"radiozurnal","SUPPORT LESBIENS - MÁJ"
"radiozurnal","BONNIE TYLER - BITTERBLUE"
"radiozurnal","CHRIS ISAAK - WICKED GAME"
"radiozurnal","BASTILLE - POMPEII"
"radiozurnal","FALCO - OUT OF THE DARK"
"radiozurnal","P!NK - WHAT ABOUT US"
"radiozurnal","OCEÁN - PRÁZDNÁ ULICE"
"radiozurnal","LAURA BRANIGAN - SELF CONTROL"
"radiozurnal","CELINE DION - FALLING INTO YOU"
"radiozurnal","AVICII,  SANDRO CAVAZZA - WITHOUT YOU"
"radiozurnal","TOMÁŠ KLUS - POCITY"
"radiozurnal","EAST 17 - STAY ANOTHER DAY"
"radiozurnal","IMAGINE DRAGONS - DEMONS"
"radiozurnal","BOYZONE - LOVE ME FOR A REASON"
"radiozurnal","MŇÁGA A ŽĎORP - PÍSNIČKA PRO TEBE!"
"radiozurnal","SELENA GOMEZ - BACK TO YOU"
"radiozurnal","DANDY WARHOLS - BOHEMIAN LIKE YOU"
"radiozurnal","CAPITAL CITIES - ONE MINUTE MORE"
"radiozurnal","STEVIE WONDER - PART-TIME LOVER"
"radiozurnal","MOODY BLUES - NIGHTS IN WHITE SATIN"
"radiozurnal","DIDO - HUNTER"
"radiozurnal","RAF - CONTROSENSO"
"radiozurnal","ESPEN LIND - WHEN SUSANNAH CRIES"
"radiozurnal","NIALL HORAN - ON THE LOOSE"
"radiozurnal","ONE MORE TIME - HIGHLAND"
"radiozurnal","VLADIMÍR MIŠÍK - VARIACE NA RENESANČNÍ TÉMA"
"radiozurnal","FOSTER THE PEOPLE - SIT NEXT TO ME"
"radiozurnal","F.R. DAVID - WORDS"
"radiozurnal","TAKE THAT - PATIENCE"
"radiozurnal","VANESSA WILLIAMS - SAVE THE BEST FOR THE LAST"
"radiozurnal","KRYŠTOF - COSMOSHOP"
"radiozurnal","R.E.M. - MAN ON THE MOON"
"radiozurnal","MADONNA - AMERICAN PIE"
"radiozurnal","BEATLES - HERE COMES THE SUN"
"radiozurnal","FLORENCE,  THE MACHINE - SHIP TO WRECK"
"radiozurnal","PIERRE COSSO, BONNIE BIANCO - STAY"
"radiozurnal","ALANIS MORISSETTE - YOU LEARN"
"radiozurnal","CAT STEVENS - MORNING HAS BROKEN"
"radiozurnal","ED SHEERAN - THINKING OUT LOUD"
"radiozurnal","IVA FRÜHLINGOVÁ - OU TU VEUX QUAND TU VEUX"
"radiozurnal","BELOVED - SWEET HARMONY"
"radiozurnal","MIRAI - CHCI TANČIT"
"radiozurnal","ROXETTE - DANGEROUS"
"radiozurnal","SUGABABES - ABOUT YOU NOW"
"radiozurnal","BEYONCÉ - IF I WERE A BOY"
"radiozurnal","SOUL ASYLUM - RUNAWAY TRAIN"
"radiozurnal","SCORPIONS - YOU AND I"
"radiozurnal","ANETA LANGEROVÁ - STAČILO ŘÍCT"
"radiozurnal","EDWYN COLLINS - A GIRL LIKE YOU"
"radiozurnal","A-HA - TAKE ON ME"
"radiozurnal","SONIQUE - ALIVE"
"radiozurnal","MANS ZELMERLÖW - FIRE IN THE RAIN"
"radiozurnal","CORRS - RADIO"
"radiozurnal","CRANBERRIES - ZOMBIE"
"radiozurnal","O5 & RADEČEK,  MARIA ČÍROVÁ - VLOUPÁM SE"
"radiozurnal","SUNRISE AVENUE - HOLLYWOOD HILLS"
"radiozurnal","QUEEN - FRIENDS WILL BE FRIENDS"
"radiozurnal","HARRY STYLES - SIGN OF THE TIMES"
"radiozurnal","BRYAN ADAMS - SOMEBODY"
"radiozurnal","DIVOKEJ BILL - BATALION"
"radiozurnal","ANNA K. - MOUDŘEJŠÍ NEŽ NOC"
"radiozurnal","BON JOVI - YOU GIVE LOVE A BAD NAME"
"radiozurnal","REMBRANDTS - JUST THE WAY IT IS, BABY"
"radiozurnal","DEBBI - LA LA"
"radiozurnal","U 2 - ONE"
"radiozurnal","NICK JONAS - FIND YOU"
"radiozurnal","UNIQUE II - BREAK MY STRIDE"
"radiozurnal","JELEN - MAGDALÉNA"
"radiozurnal","ADELE - ROLLING IN THE DEEP"
"radiozurnal","RICHARD MÜLLER - NEBUDE TO LAHKÉ"
"radiozurnal","WELSHLY ARMS - SANCTUARY"
"radiozurnal","BELL BOOK & CANDLE - RESCUE ME"
"radiozurnal","MICHAL HRŮZA - BUDU TI VYPRÁVĚT"
"radiozurnal","ELTON JOHN - CIRCLE OF LIFE"
"radiozurnal","LEWIS CAPALDI - TOUGH"
"radiozurnal","ROLLING STONES - START ME UP"
"radiozurnal","SHAYNE WARD - NO PROMISES"
"radiozurnal","LUCIE - DAL BYCH TI CO CHCEŠ"
"radiozurnal","OMD - MAID OF ORLEANS"
"radiozurnal","GWEN STEFANI - COOL"
"radiozurnal","GENESIS - LAND OF CONFUSION"
"radiozurnal","PET SHOP BOYS - SUBURBIA"
"radiozurnal","MIROSLAV ŽBIRKA - FAIR PLAY"
"radiozurnal","NIRVANA - THE MAN WHO SOLD THE WORLD"
"radiozurnal","CHINASKI - 1970"
"radiozurnal","STING - ALL THIS TIME"
"radiozurnal","ALANNAH MYLES - BLACK VELVET"
"radiozurnal","ED SHEEREN - GALWAY GIRL"
"radiozurnal","SAVAGE GARDEN - TO THE MOON AND BACK"
"radiozurnal","PINK FLOYD - ANOTHER BRICK IN THE WALL"
"radiozurnal","KAISER CHIEFS - RUBY"
"radiozurnal","BUTY - VRÁNA"
"radiozurnal","ŽENTOUR - TINA"
"radiozurnal","TINA TURNER - PRIVATE DANCER"
"radiozurnal","ALVARO SOLER - EL MISMO SOL"
"radiozurnal","BRUNO MARS - COUNT ON ME"
"radiozurnal","CRASH TEST DUMMIES - MMM MMM MMM MMM"
"radiozurnal","XINDL X - DŘEVO"
"radiozurnal","FREDDIE MERCURY - LIVING ON MY OWN"
"radiozurnal","SARAH CONNOR - FROM SARAH WITH LOVE"
"radiozurnal","CALLING - WHEREVER YOU WILL GO"
"radiozurnal","BRUCE SPRINGSTEEN - STREETS OF PHILADELPHIA"
"radiozurnal","CHRIS REA - ON THE BEACH"
"radiozurnal","NICKELBACK - PHOTOGRAPH"
"radiozurnal","SEAL - AMAZING"
"radiozurnal","WHITNEY HOUSTON,  ENRIQUE IGLESIAS - COULD I HAVE THIS KISS FOREVER"
"radiozurnal","CRANBERRIES - FREE TO DECIDE"
"radiozurnal","TRAVELING WILBURYS - HANDLE WITH CARE"
"radiozurnal","ROBBIE WILLIAMS - SUPREME"
"radiozurnal","ROXETTE - JUNE AFTERNOON"
"radiozurnal","SUPPORT LESBIENS - OCEAN"
"radiozurnal","BRYAN ADAMS - RUN TO YOU"
"radiozurnal","ČECHOMOR - VELICKÉ ZVONY"
"radiozurnal","R.E.M. - IMITATION OF LIFE"
"radiozurnal","WANASTOWI VJECY - NAHÁ"
"radiozurnal","LP - GIRLS GO WILD"
"radiozurnal","MICHAEL JACKSON - BLACK OR WHITE"
"radiozurnal","HOOBASTANK - THE REASON"
"radiozurnal","TOTO - AFRICA"
"radiozurnal","DIVOKEJ BILL - MALOVÁNÍ"
"radiozurnal","SCOOTER - BREAK IT UP"
"radiozurnal","CHRISTINA AGUILERA - BEAUTIFUL"
"radiozurnal","ARMIN VAN BUUREN - THIS IS WHAT IT FEELS LIKE"
"radiozurnal","PHIL COLLINS - I WISH IT WOULD RAIN DOWN"
"radiozurnal","COCOMAN,  KÁJA LESKOVEC - STOUPÁM"
"radiozurnal","P!NK - JUST LIKE FIRE"
"radiozurnal","U 2 - SWEETEST THING"
"radiozurnal","JAMES BLUNT - WISEMEN"
"radiozurnal","ELLIE GOULDING - STILL FALLING FOR YOU"
"radiozurnal","JAM & SPOON - SET ME FREE"
"radiozurnal","JENNIFER RUSH - TEARS IN THE RAIN"
"radiozurnal","KRYŠTOF - NAVIDĚNOU"
"radiozurnal","MIKE OLDFIELD,  ROGER CHAPMAN - SHADOW ON THE WALL"
"radiozurnal","COLBIE CAILLAT - BUBBLY"
"radiozurnal","PETR FIALA - MĚSÍC"
"radiozurnal","CHINASKI,  ZUZANA NORISOVÁ - DOBRÁK OD KOSTI"
"radiozurnal","FREDDIE MERCURY - LOVE KILLS"
"radiozurnal","2CHOICE,  JAKUB ONDRA - REASONS TO LOVE YOU"
"radiozurnal","BAY CITY ROLLERS - BYE BYE BABY"
"radiozurnal","DAVID STYPKA - JERICHO"
"radiozurnal","MAGGIE REILLY - EVERY SINGLE HEARTBEAT"
"radiozurnal","TOM WALKER - LEAVE LIGHT ON"
"radiozurnal","EURYTHMICS - MIRACLE OF LOVE"
"radiozurnal","K-MARO - FEMME LIKE YOU"
"radiozurnal","PETR HAPKA, LUCIE BÍLÁ - DÍVÁM SE, DÍVÁM"
"radiozurnal","RIHANNA - UNFAITHFUL"
"radiozurnal","IMAGINE DRAGONS - ZERO"
"radiozurnal","MIROSLAV ŽBIRKA - MOŽNO SA TI ZDÁ"
"radiozurnal","ENYA - ONLY TIME"
"radiozurnal","ERIC CLAPTON - WONDERFUL TONIGHT"
"radiozurnal","KATY PERRY - ROAR"
"radiozurnal","CROWDED HOUSE - WEATHER WITH YOU"
"radiozurnal","LADY GAGA,  BRADLEY COOPER - SHALLOW"
"radiozurnal","MARCELLA DETROIT - I BELIEVE"
"radiozurnal","GARETH GATES - ANYONE OF US"
"radiozurnal","ROXETTE - SPENDING MY TIME"
"radiozurnal","MATT SIMONS - WE CAN DO BETTER"
"radiozurnal","ALICE SPRINGS - JÍZDA"
"radiozurnal","TRAVIS - SIDE"
"radiozurnal","ROBIN GIBB - JULIET"
"radiozurnal","BEATLES - COME TOGETHER"
"radiozurnal","SIMPLE PLAN - UNTITLED"
"radiozurnal","ZOO - UŽ SE BLÍŽÍ ČAS SLUHŮ"
"radiozurnal","BUGGLES - VIDEO KILLED THE RADIO STAR"
"radiozurnal","ELTON JOHN, GEORGE MICHAEL - DON'T LET THE SUN GO DOWN ON ME"
"radiozurnal","BON JOVI - RUNAWAY"
"radiozurnal","NO NAME - ŽI... A NECH ŽÍT"
"radiozurnal","CARDIGANS - MY FAVOURITE GAME"
"radiozurnal","COLDPLAY - HYMN FOR THE WEEKEND"
"radiozurnal","PHIL COLLINS - AGAINST ALL ODDS (TAKE A LOOK AT ME NOW)"
"radiozurnal","ADIEMUS - ADIEMUS"
"radiozurnal","STEVIE B. - BECAUSE I LOVE YOU (THE POSTMAN SONG)"
"radiozurnal","TINA TURNER - THE BEST"
"radiozurnal","JAROMÍR NOHAVICA - DARMODĚJ"
"radiozurnal","TIGHT FIT - THE LION SLEEPS TONIGHT"
"radiozurnal","ALLE FARBEN,  JANIECK - LITTLE HOLLYWOOD"
"radiozurnal","ROD STEWART - SAILING"
"radiozurnal","JESS GLYNNE - HOLD MY HAND"
"radiozurnal","DEPECHE MODE - PRECIOUS"
"radiozurnal","TEXAS - SAY WHAT YOU WANT"
"radiozurnal","PAUL SIMON/ART GARFUNKEL - THE SOUND OF SILENCE"
"radiozurnal","FOREIGNER - I WANT TO KNOW WHAT LOVE IS"
"radiozurnal","CHRISTINA PERRI - JAR OF HEARTS"
"radiozurnal","EROS RAMAZZOTTI - FUOCO NEL FUOCO"
"radiozurnal","REAMONN - SUPERGIRL"
"radiozurnal","CAT STEVENS - FATHER AND SON"
"radiozurnal","ROXETTE - WISH I COULD FLY"
"radiozurnal","LINKIN PARK - SHADOW OF THE DAY"
"radiozurnal","ERIC CARMEN - HUNGRY EYES"
