"person_id","data","first_name","last_name","age","member_party","nominate_party","dist_no","party_no","party_name","list_no","titles","abs_votes","pct_votes","rank","mandate","municipality_id","highest_title","gender","row_id","approx_birth_year","occupation","residence","name"
442951,"municipal_2014","Josef","Jeřábek",58,"BEZPP","NK",NA,NA,"
Sdružení KSČM, NK
",13,"",78,4.34,11,FALSE,571911,"No title","Male",44747,1956,"učitel","Nasavrky","Jeřábek Josef"
442951,"municipal_2018","Josef","Jeřábek",62,"BEZPP","KSČM",1,47,"Komunistická strana Čech a Moravy",5,"",0,0,NA,FALSE,571911,"No title","Male",119794,1956,NA,NA,"Jeřábek Josef"
195931,"municipal_1998","Blahoslav","Jindřichovský",57,"BEZPP","US-DEU",NA,3,"Unie svobody",3,"",310,18.69,1,TRUE,571911,"No title","Male",85006,1941,NA,NA,NA
195931,"municipal_2002","Blahoslav","Jindřichovský",61,"BEZPP","US-DEU",NA,4,"Koalice KDU-ČSL, US-DEU",7,"",272,13.38,1,TRUE,571911,"No title","Male",91154,1941,NA,NA,NA
195931,"municipal_2006","Blahoslav","Jindřichovský",65,"BEZPP","NK",NA,NA,"
Sdružení KSČM, NK
",7,"JUDr.",238,9.97,2,TRUE,571911,"Doctor","Male",38630,1941,"důchodce","Nasavrky",NA
195931,"municipal_2010","Blahoslav","Jindřichovský",69,"BEZPP","KSČM",NA,NA,"
Komunistická str.Čech a Moravy
",9,"JUDr.",175,8.65,2,FALSE,571911,"Doctor","Male",46894,1941,"důchodce","Nasavrky","Jindřichovský Blahoslav JUDr."
70129,"municipal_1994","František","Karlík",41,"BEZPP","ODS",NA,3,"Občanská demokratická strana",10,"",247,5.63,4,FALSE,571911,"No title","Male",70129,1953,NA,NA,NA
70129,"municipal_1998","František","Karlík",45,"BEZPP","ODS",NA,5,"Občanská demokratická strana",12,"",164,5.32,7,FALSE,571911,"No title","Male",85041,1953,NA,NA,NA
70129,"municipal_2002","František","Karlík",49,"BEZPP","ODS",NA,2,"Občanská demokratická strana",15,"",195,5.31,10,FALSE,571911,"No title","Male",91132,1953,NA,NA,NA
70129,"municipal_2006","František","Karlík",53,"BEZPP","ODS",NA,NA,"
Občanská demokratická strana
",15,"",159,4.14,9,FALSE,571911,"No title","Male",38623,1953,"technik","Nasavrky",NA
